sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
ariomma indica,indian driftfish,ariomma,NA,ariommatidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
ariopsis seemanni,tete sea catfish,ariopsis,ariinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aristaeomorpha foliacea,giant red shrimp,aristaeomorpha,NA,aristeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
aristaeopsis edwardsiana,scarlet shrimp,aristaeopsis,NA,aristeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
aristeidae,aristeid shrimps nei,NA,NA,aristeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
aristeus,aristeus shrimps nei,aristeus,NA,aristeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
aristeus antennatus,blue and red shrimp,aristeus,NA,aristeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
aristeus varidens,striped red shrimp,aristeus,NA,aristeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
arius,,arius,ariinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
arnoglossus,scaldfishes nei,arnoglossus,NA,bothidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
arnoglossus imperialis,imperial scaldfish,arnoglossus,NA,bothidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
arnoglossus kessleri,scaldback,arnoglossus,NA,bothidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
arnoglossus laterna,mediterranean scaldfish,arnoglossus,NA,bothidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
arnoglossus thori,thor's scaldfish,arnoglossus,NA,bothidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
arothron hispidus,white-spotted puffer,arothron,tetraodontinae,tetraodontidae,tetraodontiformes,teleostei,osteichthyes,chordata,animalia,NA
arripis georgiana,ruff,arripis,NA,arripidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
arripis trutta,australian salmon,arripis,NA,arripidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
artedidraconidae,barbled plunderfishes,NA,NA,artedidraconidae,perciformes/notothenioidei,teleostei,osteichthyes,chordata,animalia,NA
artemesia longinaris,argentine stiletto shrimp,artemesia,NA,penaeidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
artemia,brine shrimps nei,artemia,NA,artemiidae,anostraca,branchiopoda,NA,arthropoda,animalia,Miscellaneous marine crustaceans
artemia salina,brine shrimp,artemia,NA,artemiidae,anostraca,branchiopoda,NA,arthropoda,animalia,Miscellaneous marine crustaceans
arthropoda,arthropods,NA,NA,NA,NA,NA,NA,NA,NA,Multiple ISSCAAP groups
asaphis violascens,pacific asaphis,asaphis,NA,psammobiidae,cardiida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
ascidiacea,sea squirts nei,NA,NA,NA,NA,ascidiacea,NA,chordata,animalia,Sea-squirts and other tunicates
aspistor quadriscutis,bressou sea catfish,aspistor,ariinae,ariidae,siluriformes,teleostei,osteichthyes,chordata,animalia,NA
astacidae,white-clawed crayfish,NA,NA,astacidae,decapoda,malacostraca,NA,arthropoda,animalia,Freshwater crustaceans
astacus,noble crayfish,astacus,NA,astacidae,decapoda,malacostraca,NA,arthropoda,animalia,Freshwater crustaceans
astacus leptodactylus,danube crayfish,astacus,NA,astacidae,decapoda,malacostraca,NA,arthropoda,animalia,Freshwater crustaceans
asterias rubens,red starfish,asterias,NA,asteriidae,forcipulatida,asteroidea,NA,echinodermata,animalia,Sea-urchins and other echinoderms
asteroidea,starfishes nei,NA,NA,NA,NA,asteroidea,NA,echinodermata,animalia,Multiple ISSCAAP groups
astronotus,velvety cichlids,astronotus,astronotinae,cichlidae,cichliformes,actinopterygii,osteichthyes,chordata,animalia,Tilapias and other cichlids
astronotus ocellatus,oscar,astronotus,astronotinae,cichlidae,cichliformes,actinopterygii,osteichthyes,chordata,animalia,Tilapias and other cichlids
astrophyton muricatum,giant basket star,astrophyton,NA,gorgonocephalidae,euryalida,ophiuroidea,NA,echinodermata,animalia,NA
atheresthes evermanni,kamchatka flounder,atheresthes,atheresthinae,pleuronectidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
atheresthes stomias,arrowtooth flounder,atheresthes,atheresthinae,pleuronectidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
atherina boyeri,big-scale sand smelt,atherina,atherininae,atherinidae,atheriniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
atherina hepsetus,mediterranean sand smelt,atherina,atherininae,atherinidae,atheriniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
atherina presbyter,sand smelt,atherina,atherininae,atherinidae,atheriniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
atherinidae,silversides(=sand smelts) nei,NA,NA,atherinidae,atheriniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
atherinopsis californiensis,jack silverside,atherinopsis,atherinopsinae,atherinopsidae,atheriniformes,teleostei,osteichthyes,chordata,animalia,NA
athyonidium chilensis,burrowing shaggy sea cucumber,athyonidium,NA,phyllophoridae,dendrochirotida,holothuroidea,NA,echinodermata,animalia,NA
atlantoraja castelnaui,spotback skate,atlantoraja,NA,arhynchobatidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
atlantoraja cyclophora,eyespot skate,atlantoraja,NA,arhynchobatidae,rajiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
atractoscion aequidens,geelbek croaker,atractoscion,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
atractoscion nobilis,white weakfish,atractoscion,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
atractosteus,,atractosteus,NA,lepisosteidae,lepisosteiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
atractosteus spatula,alligator gar,atractosteus,NA,lepisosteidae,lepisosteiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
atractosteus tropicus,tropical gar,atractosteus,NA,lepisosteidae,lepisosteiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
atrina,pen shells nei,atrina,NA,pinnidae,pteriida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
atrina maura,maura pen shell,atrina,NA,pinnidae,pteriida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
atrobucca nibe,blackmouth croaker,atrobucca,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
atule mate,yellowtail scad,atule,caranginae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
auchenionchus microcirrhis,,auchenionchus,NA,labrisomidae,blenniiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
auchenoglanis biscutatus,,auchenoglanis,auchenoglanidinae,claroteidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
auchenoglanis occidentalis,bubu,auchenoglanis,auchenoglanidinae,claroteidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
aulacomya ater,cholga mussel,aulacomya,NA,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
aulacomya atra,chilean ribbed mussel,aulacomya,NA,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,NA
aulopus filamentosus,royal flagfin,aulopus,NA,aulopidae,aulopiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aulostomidae,trumpetfishes,NA,NA,aulostomidae,syngnathiformes,teleostei,osteichthyes,chordata,animalia,NA
aulostomus chinensis,chinese trumpetfish,aulostomus,NA,aulostomidae,syngnathiformes,teleostei,osteichthyes,chordata,animalia,NA
aulostomus maculatus,trumpetfish,aulostomus,NA,aulostomidae,syngnathiformes,teleostei,osteichthyes,chordata,animalia,NA
aurelia aurita,common jellyfish,aurelia,NA,ulmaridae,semaeostomeae,scyphozoa,NA,cnidaria,animalia,Miscellaneous aquatic invertebrates
australostichopus mollis,brown mottled sea cucumber,australostichopus,NA,stichopodidae,synallactida,holothuroidea,NA,echinodermata,animalia,Sea-urchins and other echinoderms
austroglossus,southeast atlantic soles nei,austroglossus,NA,soleidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
austroglossus microlepis,west coast sole,austroglossus,NA,soleidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
austroglossus pectoralis,mud sole,austroglossus,NA,soleidae,pleuronectiformes,actinopterygii,osteichthyes,chordata,animalia,"Flounders, halibuts, soles"
austromegabalanus psittacus,giant barnacle,austromegabalanus,NA,balanidae,sessilia,maxillopoda,NA,arthropoda,animalia,Miscellaneous marine crustaceans
austrovenus stutchburyi,stutchbury's venus,austrovenus,NA,veneridae,venerida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
auxis,frigate and bullet tunas,auxis,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
auxis rochei,bullet tuna,auxis,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
auxis thazard,frigate tuna,auxis,scombrinae,scombridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,"Tunas, bonitos, billfishes"
azurina,blue chromis,azurina,chrominae,pomacentridae,ovalentaria/misc,teleostei,osteichthyes,chordata,animalia,NA
azurina multilineata,brown chromis,azurina,chrominae,pomacentridae,ovalentaria/misc,teleostei,osteichthyes,chordata,animalia,NA
babylonia spirata,spiral babylon,babylonia,NA,buccinidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
bagre bagre,coco sea catfish,bagre,bagreinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
bagre marinus,gafftopsail sea catfish,bagre,bagreinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
bagre panamensis,chilhuil sea catfish,bagre,bagreinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
bagre pinnimaculatus,red sea catfish,bagre,bagreinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
bagridae,bagrid catsfih nei,NA,NA,bagridae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
bagrus,naked catfishes,bagrus,NA,bagridae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
bagrus bajad,bayad,bagrus,NA,bagridae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
bairdiella chrysoura,goldtail croaker,bairdiella,NA,sciaenidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
bairdiella ronchus,ground croaker,bairdiella,NA,sciaenidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
balistes,,balistes,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
balistes capriscus,grey triggerfish,balistes,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
balistes polylepis,finescale triggerfish,balistes,NA,balistidae,tetraodontiformes,teleostei,osteichthyes,chordata,animalia,NA
balistes vetula,queen triggerfish,balistes,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
balistidae,"triggerfishes, durgons nei",NA,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
balistoides viridescens,titan triggerfish,balistoides,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
barbodes binotatus,spotted barb,barbodes,smiliogastrinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
barbonymus balleroides,,barbonymus,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
barbonymus gonionotus,silver barb,barbonymus,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
barbonymus schwanefeldii,tinfoil barb,barbonymus,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
barbourisia rufa,velvet whalefish,barbourisia,NA,barbourisiidae,beryciformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
barbus barbus,barbel,barbus,barbinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
barbus cyclolepis,,barbus,barbinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
barbus meridionalis,mediterranean barbel,barbus,barbinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
