sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
anoplopoma fimbria,sablefish,anoplopoma,NA,anoplopomatidae,perciformes/cottoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
anostomoides laticeps,,anostomoides,NA,anostomidae,characiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
anotopterus pharao,daggertooth,anotopterus,NA,paralepididae,aulopiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
anthias anthias,swallowtail seaperch,anthias,anthiadinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
antigonia capros,deepbody boarfish,antigonia,NA,antigoniidae,acanthuriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
antimora rostrata,blue antimora,antimora,NA,moridae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
anyperodon leucogrammicus,slender grouper,anyperodon,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aphanopus,,aphanopus,aphanopodinae,trichiuridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
aphanopus carbo,black scabbardfish,aphanopus,aphanopodinae,trichiuridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
aphanopus intermedius,intermediate scabbardfish,aphanopus,aphanopodinae,trichiuridae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
aphareus furca,small toothed jobfish,aphareus,etelinae,lutjanidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aphareus rutilans,rusty jobfish,aphareus,etelinae,lutjanidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aphia minuta,transparent goby,aphia,gobiinae,gobiidae,gobiiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aplodactylus punctatus,,aplodactylus,NA,aplodactylidae,centrarchiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aplodinotus grunniens,freshwater drum,aplodinotus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
apogon imberbis,cardinal fish,apogon,apogoninae,apogonidae,kurtiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
apogon maculatus,flamefish,apogon,apogoninae,apogonidae,kurtiformes,teleostei,osteichthyes,chordata,animalia,NA
apogonidae,"cardinalfishes, etc. nei",NA,NA,apogonidae,kurtiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aporrhais pespelecani,common pelican-foot,aporrhais,NA,aporrhaididae,neotaenioglossa,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
apostichopus japonicus,japanese sea cucumber,apostichopus,NA,stichopodidae,synallactida,holothuroidea,NA,echinodermata,animalia,Sea-urchins and other echinoderms
aprion virescens,green jobfish,aprion,etelinae,lutjanidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
